순번,회사명,공장대표주소,업종명,전화번호
658,(주)도올,부산광역시 기장군 정관읍 양수길 49,건설용 석제품 제조업,051-728-7003
659,(주)도원타워정관공장,부산광역시 기장군 정관읍 매학리 475-16번지,기타 1차 비철금속 제조업,미등록
660,(주)도원플라텍,부산광역시 강서구 제도로 1187 (강동동),체외 진단 시약 제조업 외 1종,070-4633-2199
661,(주)동경기전,부산광역시 사하구 다산로53번길 7 (다대동),금속 캔 및 기타 포장용기 제조업 외 4종,051-261-2587
662,(주)동광,부산광역시 영도구 남항서로92번길 26 (남항동2가),선박 구성 부분품 제조업,051-418-7335
663,(주)동광STS,부산광역시 강서구 신호산단1로 220-8 (신호동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,051-832-8011
664,(주)동광주물,"부산광역시 사상구 학장로95번길 9 (학장동, 동광주물)",강주물 주조업,051-325-0598
665,(주)동광화학,부산광역시 사하구 신산북로 21 (신평동),그 외 기타 플라스틱 제품 제조업,051-204-2621
666,(주)동구인프라,부산광역시 강서구 송동길 505 (대저2동),전동기 및 발전기 제조업 외 2종,051-973-1890
667,(주)동국필스텍,"부산광역시 강서구 녹산산단261로60번길 8, (송정동,1585-2) (송정동)",선박 구성 부분품 제조업,051-831-2262
668,(주)동남금속,부산광역시 강서구 낙동남로 1048 (명지동),기타 1차 비철금속 제조업,051-327-9966
669,(주)동남기계,부산광역시 기장군 정관읍 산단4로 75,그 외 자동차용 신품 부품 제조업,051-724-6241
670,(주)동남비엔씨,부산광역시 영도구 대평남로 66-1 (대평동2가),선박 구성 부분품 제조업,051-413-1675
671,(주)동남섬유,부산광역시 강서구 울만로25번길 188 (대저2동),면직물 직조업,051-971-0461
672,(주)동남엘씨,"부산광역시 사상구 가야대로104번길 1 (학장동, (주)동남엘씨)",구조용 금속 판제품 및 공작물 제조업 외 1종,051-314-6400
673,(주)동남전자부품,"부산광역시 사상구 학장로323번길 12 (주례동, 동남전자부품(주))","알루미늄 압연, 압출 및 연신제품 제조업",051-323-3151
674,(주)동남코리아,부산광역시 강서구 미음산단1로15번길 34 (구랑동),강관 제조업,051-899-6403
675,(주)동남티에스,"부산광역시 사상구 괘감로 56-21(감전동, (주)동남티에스)",유압기기 제조업,051-322-2384
676,(주)동남팩,부산광역시 사하구 두송로 39 (장림동),기타 인쇄업 외 1종,051-261-9525
677,(주)동도실업스텐레스,부산광역시 사상구 새벽로121번길 91 (감전동),수동식 식품 가공기기 및 금속 주방용기 제조업,051-312-8919
678,(주)동림ENG,부산광역시 사하구 하신중앙로3번가길 74 (장림동),그 외 기타 가구 제조업 외 1종,051-262-0573
679,(주)동림피앤티,부산광역시 금정구 개좌로 203 (회동동),합성수지 및 기타 플라스틱 물질 제조업,051-523-7731
680,(주)동명,부산광역시 강서구 낙동남로605번길 24-17 (녹산동),기타 선박 건조업 외 4종,051-961-3008
681,(주)동명바이오,"부산광역시 남구 신선로 428, 학생군사교육관 402호 (용당동, 동명대학교)",화장품 제조업,051-627-0420
682,(주)동명오앤씨,부산광역시 강서구 녹산산단262로49번길 40 (송정동),계면활성제 제조업,051-832-2280
683,(주)동명이엔씨,부산광역시 사상구 삼덕로 30 (덕포동),무기 및 총포탄 제조업 외 76종,051-465-1147
684,(주)동명테크디엠티,부산광역시 기장군 장안읍 오리산단8로 17,주형 및 금형 제조업,051-727-8361
685,(주)동명펀칭,부산광역시 사상구 가야대로12번길 46 (감전동),신발 부분품 제조업 외 1종,051-323-3256
686,(주)동방메카니칼,부산광역시 강서구 녹산산단261로31번길 24 (송정동),도금업,051-831-2760
687,(주)동방비에프,부산광역시 기장군 정관읍 용수공단2길 51 (동방부라쉬),냉간 압연 및 압출 제품 제조업,051-728-5577
688,(주)동방선기,부산광역시 강서구 녹산산단261로14번길 43 (송정동),선박 구성 부분품 제조업,051-831-1882
689,(주)동방선기,부산광역시 강서구 과학산단1로103번길 41 (지사동),선박 구성 부분품 제조업,051-972-0882
690,(주)동방선기,부산광역시 강서구 녹산산단165로14번길 31 (송정동),"증류기, 열교환기 및 가스발생기 제조업 외 2종",051-831-1882
691,(주)동방선기,부산광역시 강서구 미음산단로 417(미음동),선박 구성 부분품 제조업,055-545-0882
692,(주)동방에이티,부산광역시 강서구 체육공원로6번길 117 (대저1동),기체 펌프 및 압축기 제조업,051-316-0639
693,(주)동방엠텍,부산광역시 사상구 새벽로 83-16 (학장동),자동차 엔진용 신품 부품 제조업,051-326-7811
694,(주)동방유통,부산광역시 사하구 감천항로429번길 37 (구평동),수산동물 냉동품 제조업,051-314-4452
695,(주)동방테크윈,부산광역시 강서구 녹산산업북로 33 (송정동),분사기 및 소화기 제조업 외 1종,051-831-9756
696,(주)동방테크윈,부산광역시 강서구 녹산산단165로14번길 32(송정동),분사기 및 소화기 제조업 외 2종,051-831-9756
697,(주)동방특수고무,부산광역시 사상구 광장로56번길 60-18 (괘법동),그 외 기타 고무제품 제조업,051-315-5691
698,(주)동방화학,부산광역시 강서구 녹산산단165로 28 (송정동),기타 기초 유기화학 물질 제조업,051-831-2728
699,(주)동백양조,부산광역시 기장군 정관읍 정관로 266 (하이소파),탁주 및 약주 제조업,051-727-1472
700,(주)동보에스엠,"부산광역시 사상구 광장로13번길 51 (괘법동, 동보에스엠)",신발 부분품 제조업 외 1종,051-326-5077
701,(주)동부엔지니어링,부산광역시 사하구 하신중앙로54번길 43 (장림동),배전반 및 전기 자동제어반 제조업,051-261-4209
702,(주)동부엘리베이터,부산광역시 기장군 정관읍 정관상곡2길 59-2,승강기 제조업,051-704-9962
703,(주)동산금형,부산광역시 사상구 강변대로456번길 16-23 (엄궁동),주형 및 금형 제조업,051-326-4317
704,(주)동산전기물류,부산광역시 강서구 공항로811번나길 75 (대저2동),육상 금속 골조 구조재 제조업 외 1종,051-314-0632
705,(주)동산화학,부산광역시 강서구 녹산산단262로50번길 6 (송정동),그 외 자동차용 신품 부품 제조업 외 5종,051-322-5725
706,(주)동서기연,부산광역시 강서구 녹산산단46로 75 (송정동),기어 및 동력전달장치 제조업 외 2종,051-831-2046
707,(주)동서산업,부산광역시 영도구 해양로 225 (동삼동),레미콘 제조업,051-403-3055
708,(주)동서정밀,부산광역시 사상구 사상로456번길 24 (모라동),합금철 제조업,051-305-3684
709,(주)동서피앤엘      ,부산광역시 기장군 장안읍 반룡산단2로 53,그 외 자동차용 신품 부품 제조업,051-714-2472
710,(주)동성기공,부산광역시 강서구 녹산산업중로167번길 29 (송정동),자동차용 신품 의자 제조업 외 2종,051-970-3500
711,(주)동성로라,부산광역시 강서구 녹산산단261로 25 (송정동),도금업,051-832-0112
712,(주)동성바텍,"부산광역시 부산진구 가야대로552번길 119-1 (가야동, 가야동 공장 주택 B동)",분사기 및 소화기 제조업,051-897-8005
713,(주)동성사,부산광역시 사하구 신산로 123 (신평동),종이 포대 및 가방 제조업,051-203-0570
714,(주)동성씨앤티,부산광역시 기장군 기장읍 대청로14번길 15,기타 음향기기 제조업 외 5종,051-804-4556
715,(주)동성엔텍,부산광역시 강서구 녹산산단382로14번가길 23 (송정동),그 외 기타 금속가공업,051-973-5272
716,(주)동성이에스,부산광역시 강서구 녹산산업중로 112 (송정동),배전반 및 전기 자동제어반 제조업 외 2종,051-405-1105
717,(주)동성지기,"부산광역시 연제구 중앙대로1133번길 21 (연산동, 주식회사 동성지기)",포장용판지상자및기타종이용기제조업,051-852-7321
718,(주)동성케미컬,부산광역시 사하구 신산로 99 (신평동),일반용 도료 및 관련제품 제조업,051-200-4500
719,(주)동성케미컬 신평공장,부산광역시 사하구 하신번영로 19 (신평동),신발 부분품 제조업 외 3종,051-200-4573
720,(주)동성테크 부산지점,부산광역시 강서구 낙동북로60번길 32-9 (강동동),그 외 기타 전자부품 제조업 외 1종,055-328-5388
721,(주)동성플러스,"부산광역시 사상구 농산물시장로26번길 39 (엄궁동, 동성PLUS)",간판 및 광고물 제조업 외 7종,051-313-4233
722,(주)동순덕식품,신산북로 46,"면류, 마카로니 및 유사식품 제조업",051-203-8881
723,(주)동순덕식품,부산광역시 사하구 신산북로 46 (신평동),"면류, 마카로니 및 유사식품 제조업",051-203-8881
724,(주)동스틸,부산광역시 강서구 신호산단3로88번길 12 (신호동),그 외 기타 1차 철강 제조업,070-7734-5766
725,(주)동신기전,부산광역시 영도구 해양로 221 (동삼동),선박 구성 부분품 제조업,051-418-7880
726,(주)동신모텍 부산공장,"부산광역시 강서구 르노삼성대로 61, 제5동 트랜드엑셀공장 (신호동)",내연기관 승용차 및 기타 여객용 자동차 제조업 외 4종,미등록
727,(주)동신이엔텍,부산광역시 강서구 녹산산단381로40번길 51 (송정동),그 외 기타 1차 철강 제조업 외 2종,051-832-1473
728,(주)동신제지,부산광역시 기장군 정관읍 산단7로 89 ((주)동신제지),위생용 종이제품 제조업 외 1종,051-727-2621
729,(주)동신화스너,"부산광역시 사상구 감전천로 172 (학장동, 성진스텐)",볼트 및 너트류 제조업 외 2종,051-316-0676
730,(주)동아,"부산광역시 사상구 사상로425번길 12, 1층(모라동)","근무복, 작업복 및 유사의복 제조업 외 2종",051-245-1505
731,(주)동아,부산광역시 서구 구덕로 155-1 (초장동),"근무복, 작업복 및 유사의복 제조업 외 7종",051-245-1505
732,(주)동아디젤,부산광역시 영도구 대평로6번길 14 (남항동1가),선박 구성 부분품 제조업 외 1종,051-415-1250
733,(주)동아벨트산업,부산광역시 강서구 공항로361번길 29 (대저2동),컨베이어장치 제조업,051-819-2700
734,(주)동아산업기계,부산광역시 사하구 다산로78번길 28 (다대동),절삭가공 및 유사처리업,051-262-4375
735,(주)동아위드,"부산광역시 사하구 낙동대로 536, 2층 (일부)(하단동)",남자용 겉옷 제조업 외 3종,051-291-0911
736,(주)동아위드,"부산광역시 사하구 낙동대로 542, 301 (하단동, 대우에덴프라자)",기타 인쇄업 외 2종,051-911-0173
737,(주)동아유화,부산광역시 사상구 가야대로11번길 72 (감전동),기타 석유정제물 재처리업 외 1종,051-323-4411
738,(주)동아이엔씨,부산광역시 강서구 송정동 1489-5번지,"증류기, 열교환기 및 가스발생기 제조업",051-319-0290
739,(주)동아인더스트리,부산광역시 사상구 사상로 389 (덕포동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,051-304-9534
740,(주)동아인더스트리,부산광역시 사상구 삼덕로 55 (덕포동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,051-304-9534
741,(주)동아지반   ,부산광역시 기장군 장안읍 반룡산단2로 40,건설 및 채광용 기계장비 제조업,051-315-5067
742,(주)동아티엔씨,부산광역시 서구 남부민로12번길 69 (남부민동),전시 및 광고용 조명장치 제조업 외 7종,051-242-3330
743,(주)동아플레이팅,"부산광역시 강서구 녹산산단382로14번가길 20, 1층 107호 (송정동, 한국청정도금센터)",도금업 외 1종,051-972-2171
744,(주)동아피앤피,부산광역시 사하구 하신중앙로27번길 6 (장림동),오프셋 인쇄업,051-807-0600
745,(주)동아하이텍,"부산광역시 사상구 모라로192번길 9, 401호 (모라동, 모라아파트형공장)",기타 전기 변환장치 제조업 외 1종,051-302-2380
746,(주)동안테크,부산광역시 기장군 장안읍 반룡산단3로 100,금속 주조 및 기타 야금용 기계 제조업,051-987-0622
747,(주)동양/건재부문 부산공장,부산광역시 서구 원양로 268 (암남동) (총 6 필지),레미콘 제조업 외 3종,051-253-3300
748,(주)동양/건재부문 서부산공장,부산광역시 강서구 과학산단로 141 (구랑동),레미콘 제조업,051-972-9880
749,(주)동양/건재부문 정관공장,부산광역시 기장군 정관읍 산단7로 8-19 ((주)동양메이저),레미콘 제조업,051-728-6657
750,(주)동양기전,부산광역시 강서구 체육공원로6번길 161-22 (대저1동),배전반 및 전기 자동제어반 제조업,051-714-6880
751,(주)동양메탈,"부산광역시 사상구 장인로77번길 103-11 (학장동, 동양메탈)",절삭가공 및 유사처리업,051-314-5156
752,(주)동양에프앤에프,"부산광역시 사상구 학감대로 238-12(감전동, HJ메탈)",강관 제조업 외 1종,051-941-6878
753,(주)동양염색,부산광역시 사하구 신산로29번길 10 (신평동),"직물, 편조원단 및 의복류 염색 가공업",051-292-2122
754,(주)동양윈텍,부산광역시 기장군 장안읍 장안산단로 190-7,"금속 문, 창, 셔터 및 관련제품 제조업",051-515-2544
755,(주)동양윈텍,부산광역시 기장군 정관읍 정관로 929-19,"금속 문, 창, 셔터 및 관련제품 제조업",051-515-2544
756,(주)동양이엔씨,"부산광역시 영도구 태종로 40, 202호(대교동1가, 브릿지타워)",배전반 및 전기 자동제어반 제조업,02-575-9526
757,(주)동양이엠텍,부산광역시 강서구 범방2로 54 (범방동),"전기회로 개폐, 보호장치 제조업 외 1종",051-831-3776
758,(주)동양전기,"부산광역시 사상구 가야대로 164 (학장동, 동양전기(주))",전동기 및 발전기 제조업,051-327-1715
759,(주)동양전기정공,부산광역시 강서구 녹산산업대로 117-7 (송정동),"전기회로 개폐, 보호장치 제조업 외 11종",051-831-0750
760,(주)동양정공,부산광역시 사상구 장인로20번길 80 (감전동),자동차 차체용 신품 부품 제조업 외 2종,051-316-3355
761,(주)동양터보엔텍,부산광역시 영도구 대평로 63 (대평동2가),선박 구성 부분품 제조업,051-417-9002
762,(주)동양테크,부산광역시 기장군 정관읍 산단4로 90 ((주)동양테크),자동차 차체용 신품 부품 제조업 외 2종,070-7116-6221
763,(주)동양테크윈,부산광역시 강서구 녹산산단231로 46 (송정동),도금업,051-831-5782
764,(주)동양하이텍,부산광역시 사상구 학감대로192번길 16 (학장동),자동차용 금속 압형제품 제조업,051-311-1332
765,(주)동양화인텍,부산광역시 강서구 미음국제5로 168 (범방동) (주)동양휄트오일씰,절삭가공 및 유사처리업,051-316-6850
766,(주)동양화학,부산광역시 사상구 학감대로192번길 60-49 (학장동),합성수지 및 기타 플라스틱 물질 제조업,051-324-6611
767,(주)동영2PTC,부산광역시 강서구 과학산단로 473 (지사동),가정용 및 산업용 공기 조화장치 제조업 외 2종,051-971-3584
768,(주)동영기건,"부산광역시 북구 사상로558번가길 90, 1층 (구포동)",배전반 및 전기 자동제어반 제조업,051-747-4540
769,(주)동영물산,부산광역시 강서구 녹산화전로 82 (송정동),"박판, 합판 및 유사 적층판 제조업",051-832-2393
770,(주)동영실업,부산광역시 강서구 미음산단4로 115 (미음동),가정용 및 산업용 공기 조화장치 제조업 외 2종,051-971-3584
771,(주)동우무역산업,"부산광역시 사상구 가야대로230번길 8 (학장동, 동우무역산업)",기타 신발 제조업 외 1종,051-312-7791
772,(주)동우에프지엠,부산광역시 강서구 녹산산단261로88번길 22 (송정동) (총 2 필지),육상 금속 골조 구조재 제조업 외 2종,051-831-2525
773,(주)동우정기,부산광역시 강서구 공항로339번길 126 (대저2동),그 외 자동차용 신품 부품 제조업 외 3종,051-941-9941
774,(주)동원용접재,부산광역시 강서구 유통단지1로132번길 38 (대저2동),그 외 기타 전기장비 제조업,051-322-2511
775,(주)동원테크,부산광역시 사상구 사상로333번길 45 (덕포동),절삭가공 및 유사처리업,051-319-4677
776,(주)동원통영수산,부산광역시 사하구 감천항로 24 (감천동) (총 4 필지),수산동물 냉동품 제조업 외 1종,051-712-6305
777,(주)동원특강,부산광역시 강서구 미음산단5로42번길 36 (미음동),그 외 기타 1차 철강 제조업,051-832-1234
778,(주)동원해사랑,부산광역시 사하구 감천항로 24 (감천동),수산동물 냉동품 제조업 외 1종,051-291-5101
779,(주)동이에코스,부산광역시 사하구 홍티로 10 (다대동),기타 전기 변환장치 제조업 외 10종,051-266-7755
780,(주)동이티씨에스,부산광역시 강서구 과학산단1로103번길 62 (지사동),선박 구성 부분품 제조업,051-941-3617
781,(주)동인산업,부산광역시 연제구 과정로344번길 53 (연산동),위생용 종이제품 제조업 외 2종,051-863-5983
782,(주)동인엔시스,부산광역시 기장군 정관읍 달음산길 20 (주)동인기전,배전반 및 전기 자동제어반 제조업,051-862-3668
783,(주)동인호,부산광역시 동래구 미남로 84 (온천동),구조용 금속 판제품 및 공작물 제조업,051-506-1437
784,(주)동일,부산광역시 사상구 가야대로 133 (감전동),신발 부분품 제조업,051-893-1907
785,(주)동일케미칼,"부산광역시 사상구 장인로77번길 103-22 (학장동, 주식회사 동일케미칼)",그 외 기타 고무제품 제조업 외 2종,051-313-0657
786,(주)동주엔지니어링,부산광역시 강서구 공항로767번다길 16 (대저2동),유선 통신장비 제조업,070-4322-4277
787,(주)동주이엔씨,부산광역시 강서구 제도로1041번다길 22 (강동동),금속 표시판 제조업 외 11종,051-631-0113
788,(주)동진금속,부산광역시 사하구 감천항로419번길 21 (구평동),"동 제련, 정련 및 합금 제조업",051-263-6031
789,(주)동진다이닝,부산광역시 사하구 하신번영로127번길 25 (신평동),"직물, 편조원단 및 의복류 염색 가공업 외 1종",051-202-9408
790,(주)동진아노텍,"부산광역시 강서구 녹산산단261로 47,  (송정동,1567-11) (송정동)",도금업,051-831-2302
791,(주)동진에프앤티,부산광역시 강서구 경전철로39번나길 6 (대저2동),그 외 기타 1차 철강 제조업 외 23종,051-973-4133
792,(주)동진염색,부산광역시 사하구 하신번영로73번길 40 (신평동),"직물, 편조원단 및 의복류 염색 가공업",051-201-0247
793,(주)동진전기,부산광역시 사하구 구평로 7 (구평동),선박 구성 부분품 제조업,051-417-2808
794,(주)동진정보통신,"부산광역시 수영구 장대골로 75-5, 1층 (광안동)",전시 및 광고용 조명장치 제조업 외 12종,051-758-0800
795,(주)동진테크,"부산광역시 사상구 장인로77번길 103-20 (학장동, (주)동진테크)",자동차 차체용 신품 부품 제조업 외 2종,051-317-5677
796,(주)동진특수금속,부산광역시 강서구 녹산산단382로59번길 41 (송정동),강주물 주조업 외 1종,미등록
797,(주)동진해상교역,부산광역시 영도구 남항서로 64 (남항동3가),선박 구성 부분품 제조업 외 1종,051-418-8501
798,(주)동하,부산광역시 사하구 감천항로 151 (구평동),컨베이어장치 제조업 외 1종,051-256-1774
799,(주)동하,부산광역시 사하구 구평로 19-1 (구평동),컨베이어장치 제조업 외 1종,051-256-1774
800,(주)동하씨푸드,부산광역시 사하구 다산로 12 (다대동),"수산동물 훈제, 조리 및 유사 조제식품 제조업",051-263-0125
801,(주)동하씨푸드 지점,"부산광역시 사하구 다산로 271, B동 3층 (장림동)",수산동물 건조 및 염장품 제조업,051-265-9181
802,(주)동합철강,부산광역시 사상구 대동로 232(학장동),그 외 기타 1차 철강 제조업,051-313-5281
803,(주)동합철강,부산광역시 사상구 대동로 232 (학장동),그 외 기타 1차 철강 제조업,051-313-5281
804,(주)동해공영,부산광역시 강서구 녹산산단382로60번길 50 (송정동),안전유리 제조업 외 2종,051-831-6125
805,(주)동해공영,부산광역시 강서구 녹산산단382로60번길 32 (송정동),"금속 문, 창, 셔터 및 관련제품 제조업",051-831-6130
806,(주)동해내산펌프,부산광역시 사상구 모덕로95번길 40 (모라동),액체 펌프 제조업,051-305-3373
807,(주)동해로씨푸드,부산광역시 사하구 다대로1066번길 64-10(장림동),수산동물 냉동품 제조업 외 1종,051-909-9229
808,(주)동해산업,부산광역시 사하구 하신중앙로3번길 56 (장림동),기타 건축용 플라스틱 조립제품 제조업,02-472-6077
809,(주)동해엠티,부산광역시 사하구 감천항로405번길 74 (구평동),선박 구성 부분품 제조업 외 1종,051-266-6877
810,(주)동헌레미콘,부산광역시 강서구 명동길 47 (지사동),레미콘 제조업,051-972-8702
811,(주)동현기업,부산광역시 강서구 낙동남로511번길 55 (녹산동),그 외 기타 분류 안된 금속 가공 제품 제조업,051-466-2812
812,(주)동현이엔지,부산광역시 강서구 화전산단5로14번길 31(화전동),절삭가공 및 유사처리업 외 2종,051-831-2977
813,(주)동호에이텍,부산광역시 강서구 화전산단3로 82 (화전동),주형 및 금형 제조업,051-304-1600
814,(주)동호전자,"부산광역시 금정구 회천로5번길 20, 1, 2층 (회동동)",비디오 및 기타 영상기기 제조업,051-527-8707
815,(주)동화기업,부산광역시 사상구 낙동대로1396번길 15 (삼락동),기체 여과기 제조업,051-531-7200
816,(주)동화뉴텍,부산광역시 강서구 미음산단로8번길 75 (구랑동),기체 펌프 및 압축기 제조업 외 1종,051-974-4806
817,(주)동화뉴텍,부산광역시 강서구 미음산단로8번길 85 (구랑동),"증류기, 열교환기 및 가스발생기 제조업 외 2종",051-899-9670
818,(주)동화뉴텍,"부산광역시 강서구 미음산단로8번길 93(구랑동, 한신기계)",기체 펌프 및 압축기 제조업 외 1종,051-974-4810
819,(주)동화에프에이,"부산광역시 사상구 대동로 303, 402,403호 (감전동, 부산디지털밸리아파트형공장)",배전반 및 전기 자동제어반 제조업,051-329-7011
820,(주)동화엔텍,부산광역시 강서구 화전산단1로63번길 20 (화전동),"증류기, 열교환기 및 가스발생기 제조업",051-970-1000
821,(주)동화엔텍,부산광역시 강서구 과학산단로305번길 7 (지사동),"증류기, 열교환기 및 가스발생기 제조업 외 1종",051-970-1067
822,(주)동화엔텍,부산광역시 강서구 녹산산단261로 7 (송정동) (총 4 필지),"증류기, 열교환기 및 가스발생기 제조업 외 4종",051-970-1010
823,(주)동화엔텍,"부산광역시 강서구 과학산단1로60번길 31, (재)부산테크노파크 시험생산동동 102, 103호 (지사동)",배전반 및 전기 자동제어반 제조업,051-970-1067
824,(주)동화웰딩,부산광역시 강서구 미음국제5로다길 20(미음동),절삭가공 및 유사처리업 외 1종,051-322-0445
825,(주)동화웰딩,부산광역시 사상구 학감대로 230 (감전동),절삭가공 및 유사처리업 외 1종,051-322-0445
826,(주)동화일렉트릭,부산광역시 강서구 화전산단2로134번길 46 (화전동),배전반 및 전기 자동제어반 제조업,051-941-8642
827,(주)동화정밀공업,부산광역시 강서구 미음국제4로 94 (미음동),자동차 엔진용 신품 부품 제조업,051-3223-7999
828,(주)동화정밀공업,부산광역시 사상구 낙동대로970번길 86 (감전동),자동차 엔진용 신품 부품 제조업 외 1종,051-323-7999
829,(주)동화테크,부산광역시 강서구 녹산산업북로313번길 32 (송정동),"증류기, 열교환기 및 가스발생기 제조업",0507-1456-9602
830,(주)동화피에이치이,부산광역시 강서구 화전산단3로 60 (화전동),금속탱크 및 저장용기 제조업 외 4종,051-831-5093
831,(주)동화하이테크,"부산광역시 사상구 낙동대로1356번길 62 (삼락동, 동화하이테크)","증류기, 열교환기 및 가스발생기 제조업 외 8종",051-323-2219
832,(주)동화하이텍,부산광역시 강서구 화전산단1로63번길 20 (화전동),기체 펌프 및 압축기 제조업 외 1종,051-970-1026
833,(주)두경수산,부산광역시 서구 등대로 122-20 (남부민동),기타 수산동물 가공 및 저장 처리업,051-256-9422
834,(주)두리온,"부산광역시 금정구 금사로 98, 2층(금사동)","근무복, 작업복 및 유사의복 제조업 외 9종",02-6959-6200
835,(주)두산에이치에프컨트롤스아시아,"부산광역시 해운대구 센텀동로 99, 6층 609 (재송동, 벽산e센텀클래스원)",기기용 자동측정 및 제어장치 제조업,051-783-6575
836,(주)두성공업사,부산광역시 강서구 가달2로 49 (생곡동),그 외 자동차용 신품 부품 제조업,051-941-9965
837,(주)두성테크,부산광역시 강서구 평강로 267 (대저1동),기타 구조용 금속제품 제조업 외 6종,051-941-9965
838,(주)두아,부산광역시 강서구 녹산산단27로 43 (송정동),구조용 금속 판제품 및 공작물 제조업 외 1종,051-832-0517
839,(주)두연스틸,부산광역시 강서구 녹산산단262로50번길 15 (송정동) (총 2 필지),자동차용 금속 압형제품 제조업 외 1종,051-971-5526
840,(주)두영산기,부산광역시 강서구 낙동남로549번길 21 (녹산동),절삭가공 및 유사처리업,051-831-2477
841,(주)두영산기,부산광역시 강서구 미음산단4로 10 (미음동),절삭가공 및 유사처리업,051-831-2477
842,(주)두원스틸,부산광역시 기장군 장안읍 장안리 692-4번지,그 외 기타 1차 철강 제조업 외 1종,051-518-0013
843,(주)두익이엔지,"부산광역시 영도구 해양로 31, 1,3층 (청학동, (주)세화기업 공장)",선박 구성 부분품 제조업,051-466-9492
844,(주)두인티앤피,부산광역시 강서구 과학산단1로 171(지사동),강관 제조업,051-715-9931
845,(주)드라이브포스,"부산광역시 기장군 장안읍 의과학2로 88, (산업 10-8)",산업용 로봇 제조업 외 2종,051-710-7760
846,(주)드림덴탈  ,"부산광역시 해운대구 반송로513번길 66-47, 5층 501 (석대동, 석대동 6170000 공장 ((주)테크노에스에스))",그 외 기타 의료용 기기 제조업,051-636-2814
847,(주)드림레이,"부산광역시 남구 신선로 365,  부경대 창업보육센터 신관 404, 405호 (용당동)",방사선 장치 제조업,051-627-9362
848,(주)드림컴퍼니    ,부산광역시 기장군 장안읍 반룡산단2로 54,기타 가정용 전기기기 제조업,051-939-7000
849,(주)드림테크,부산광역시 강서구 과학산단2로19번길 43 (지사동),기타 가공 공작기계 제조업 외 1종,051-714-4969
850,(주)드림하이테크,부산광역시 강서구 과학산단2로19번길 43(지사동),기타 가공 공작기계 제조업 외 1종,051-972-0656
851,(주)득일정밀,부산광역시 강서구 새진목길 33-8 (명지동),그 외 자동차용 신품 부품 제조업 외 4종,051-302-0457
852,(주)등대식품,부산광역시 사하구 다대로1066번길 59 (장림동),"수산동물 훈제, 조리 및 유사 조제식품 제조업 외 1종",051-900-6410
853,(주)등푸른식품,부산광역시 사하구 다산로 265 (장림동),기타 수산동물 가공 및 저장 처리업,051-263-6363
854,(주)디네스,부산광역시 강서구 낙동남로 690 (녹산동),선박 구성 부분품 제조업,051-971-0972
855,(주)디락,부산광역시 강서구 과학산단2로19번길 100-58 (지사동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1종,070-4038-6789
856,(주)디보슨,"부산광역시 사상구 대동로 303, 411호(감전동, 부산디지털밸리아파트형공장)",그 외 기타 전기장비 제조업 외 1종,ARS-1544-1733
857,(주)디비엠,부산광역시 강서구 허왕후길 132 (지사동),선박 구성 부분품 제조업 외 2종,051-205-1585
858,(주)디비텍,"부산광역시 금정구 동천로 19, 2층 (회동동)",기타 인쇄업 외 1종,051-624-7327
859,(주)디씨아이테크,부산광역시 사하구 감천항로190번길 8 (구평동),그 외 기타 전자부품 제조업 외 1종,051-264-7436
860,(주)디아이씨    ,부산광역시 기장군 정관읍 정관로 801,그 외 자동차용 신품 부품 제조업 외 3종,051-728-5936
861,(주)디알모빌리티,부산광역시 기장군 장안읍 장안산단9로 140,자동차 엔진용 신품 부품 제조업 외 1종,070-8640-6500
862,(주)디알모빌리티 정관공장,부산광역시 기장군 정관면 농공길 73,자동차 엔진용 신품 부품 제조업 외 1종,070-8640-6500
863,(주)디알비오토메이션,부산광역시 기장군 장안읍 명례산단3로 60,"유인 항공기, 항공우주선 및 보조장치 제조업",051-790-9000
864,(주)디알액시온 ,부산광역시 기장군 정관읍 농공길 2-127,자동차 엔진용 신품 부품 제조업 외 1종,070-8640-6512
865,(주)디알액시온 장안공장,부산광역시 기장군 장안읍 장안산단9로 140,자동차 엔진용 신품 부품 제조업 외 1종,070-8640-6600
866,(주)디알액시온 정관공장 ,부산광역시 기장군 정관읍 농공길 73,자동차 엔진용 신품 부품 제조업 외 1종,070-8640-6635
867,(주)디앤블루션,부산광역시 강서구 신호산단3로87번길 19(신호동),절삭가공 및 유사처리업 외 5종,051-831-8414
868,(주)디앤비,부산광역시 강서구 범방2로 24 (미음동),비동력식 수공구 제조업 외 20종,051-831-7583
869,(주)디에스 토탈마린,"부산광역시 영도구 해양로111번길 32, 2층(청학동)",선박 구성 부분품 제조업 외 1종,051-412-9993
870,(주)디에스메탈,부산광역시 강서구 녹산산단77로 20 (송정동),절삭가공 및 유사처리업,051-831-4235
871,(주)디에스브이,부산광역시 강서구 녹산산업중로 251 (송정동),"탭, 밸브 및 유사장치 제조업",051-316-9824
872,(주)디에스아이프리징솔루션,부산광역시 사하구 을숙도대로873번길 26(감천동),산업용 냉장 및 냉동 장비 제조업,051-959-4315
